Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-24 16:24:45,2018-06-24 16:25:17,32.183s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-24 16:24:47,2018-06-24 16:25:04,17.719s,PASSED
openBrowser,Firefox 60.0,,2018-06-24 16:24:48,2018-06-24 16:25:04,15.942s,PASSED
verifyMatch,Firefox 60.0,,2018-06-24 16:25:04,2018-06-24 16:25:04,0.736s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-24 16:25:04,2018-06-24 16:25:10,5.214s,PASSED
click,Firefox 60.0,,2018-06-24 16:25:05,2018-06-24 16:25:06,0.543s,PASSED
click,Firefox 60.0,,2018-06-24 16:25:06,2018-06-24 16:25:07,1.278s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 16:25:07,2018-06-24 16:25:07,0.351s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 16:25:07,2018-06-24 16:25:08,0.191s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-24 16:25:08,2018-06-24 16:25:10,1.950s,PASSED
,,,,,,
Test Cases/Make Appointment/MakeAppointment,Firefox 60.0,,2018-06-24 16:25:10,2018-06-24 16:25:16,6.518s,PASSED
click,Firefox 60.0,,2018-06-24 16:25:11,2018-06-24 16:25:11,0.353s,PASSED
verifyEqual,Firefox 60.0,,2018-06-24 16:25:11,2018-06-24 16:25:11,0.248s,PASSED
click,Firefox 60.0,,2018-06-24 16:25:11,2018-06-24 16:25:12,0.271s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 16:25:12,2018-06-24 16:25:12,0.086s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectDropDownItemByText,Firefox 60.0,,2018-06-24 16:25:12,2018-06-24 16:25:12,0.565s,PASSED
setText,Firefox 60.0,,2018-06-24 16:25:12,2018-06-24 16:25:12,0.132s,PASSED
check,Firefox 60.0,,2018-06-24 16:25:12,2018-06-24 16:25:13,0.459s,PASSED
check,Firefox 60.0,,2018-06-24 16:25:13,2018-06-24 16:25:13,0.267s,PASSED
delay,Firefox 60.0,,2018-06-24 16:25:13,2018-06-24 16:25:16,3.014s,PASSED
