Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-23 22:57:51,2018-06-23 22:58:40,49.493s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-23 22:57:53,2018-06-23 22:58:30,36.294s,PASSED
openBrowser,Firefox 60.0,,2018-06-23 22:57:54,2018-06-23 22:58:29,35.085s,PASSED
verifyMatch,Firefox 60.0,,2018-06-23 22:58:29,2018-06-23 22:58:30,0.374s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-23 22:58:30,2018-06-23 22:58:34,4.465s,PASSED
click,Firefox 60.0,,2018-06-23 22:58:30,2018-06-23 22:58:31,0.518s,PASSED
click,Firefox 60.0,,2018-06-23 22:58:31,2018-06-23 22:58:32,0.917s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-23 22:58:32,2018-06-23 22:58:32,0.222s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-23 22:58:32,2018-06-23 22:58:32,0.084s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-23 22:58:32,2018-06-23 22:58:34,1.913s,PASSED
,,,,,,
Test Cases/Make Appointment/MakeAppointment,Firefox 60.0,,2018-06-23 22:58:34,2018-06-23 22:58:39,4.740s,PASSED
click,Firefox 60.0,,2018-06-23 22:58:34,2018-06-23 22:58:35,0.325s,PASSED
verifyEqual,Firefox 60.0,,2018-06-23 22:58:35,2018-06-23 22:58:35,0.154s,PASSED
click,Firefox 60.0,,2018-06-23 22:58:35,2018-06-23 22:58:35,0.240s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-23 22:58:35,2018-06-23 22:58:35,0.062s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectDropDownItemByText,Firefox 60.0,,2018-06-23 22:58:35,2018-06-23 22:58:36,0.488s,PASSED
setText,Firefox 60.0,,2018-06-23 22:58:36,2018-06-23 22:58:36,0.110s,PASSED
delay,Firefox 60.0,,2018-06-23 22:58:36,2018-06-23 22:58:39,3.014s,PASSED
