Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceDELETE,,,2018-08-20 15:28:39,2018-08-20 15:28:42,3.034s,PASSED
,,,,,,
Test Cases/WebserviceTest/DELETE/RemoveUser,,,2018-08-20 15:28:40,2018-08-20 15:28:42,1.747s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:28:40,2018-08-20 15:28:40,0.037s,PASSED
Statement - dataFactory = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:28:40,2018-08-20 15:28:41,0.465s,PASSED
Statement - user = dataFactory.getLastUser(),,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.525s,PASSED
Statement - userCountbeforeRemove = dataFactory.getUserCount(),,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.018s,PASSED
Statement - deleteRequest = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/DeleteUser),,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.011s,PASSED
Statement - deleteRequest.setRestUrl(deleteRequest.getRestUrl() + user.getId()),,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.030s,PASSED
Statement - deleteResponse = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(deleteRequest),,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.013s,PASSED
verifyResponseStatusCode,,,2018-08-20 15:28:41,2018-08-20 15:28:41,0.019s,PASSED
Statement - userCountAfterRemove = dataFactory.getUserCount(),,,2018-08-20 15:28:41,2018-08-20 15:28:42,0.017s,PASSED
verifyEqual,,,2018-08-20 15:28:42,2018-08-20 15:28:42,0.041s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:28:42,2018-08-20 15:28:42,0.013s,PASSED
