Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 61.0,,2018-07-28 11:01:53,2018-07-28 11:02:55,1m - 1.934s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 61.0,,2018-07-28 11:02:13,2018-07-28 11:02:14,0.882s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 11:02:14,2018-07-28 11:02:14,0.068s,PASSED
verifyMatch,Firefox 61.0,,2018-07-28 11:02:14,2018-07-28 11:02:14,0.153s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 11:02:14,2018-07-28 11:02:14,0.015s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 61.0,,2018-07-28 11:02:14,2018-07-28 11:02:20,5.812s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 11:02:14,2018-07-28 11:02:14,0.026s,PASSED
click,Firefox 61.0,,2018-07-28 11:02:15,2018-07-28 11:02:15,0.482s,PASSED
click,Firefox 61.0,,2018-07-28 11:02:15,2018-07-28 11:02:16,0.786s,PASSED
verifyElementVisible,Firefox 61.0,,2018-07-28 11:02:16,2018-07-28 11:02:16,0.141s,PASSED
verifyElementVisible,Firefox 61.0,,2018-07-28 11:02:16,2018-07-28 11:02:16,0.082s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 61.0,,2018-07-28 11:02:16,2018-07-28 11:02:20,3.680s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 11:02:20,2018-07-28 11:02:20,0.009s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 61.0,,2018-07-28 11:02:20,2018-07-28 11:02:54,33.608s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 11:02:20,2018-07-28 11:02:20,0.042s,PASSED
click,Firefox 61.0,,2018-07-28 11:02:21,2018-07-28 11:02:21,0.308s,PASSED
verifyEqual,Firefox 61.0,,2018-07-28 11:02:21,2018-07-28 11:02:22,0.551s,PASSED
click,Firefox 61.0,,2018-07-28 11:02:22,2018-07-28 11:02:22,0.347s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Firefox 61.0,,2018-07-28 11:02:22,2018-07-28 11:02:54,31.517s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 11:02:54,2018-07-28 11:02:54,0.008s,PASSED
