Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 61.0,,2018-07-28 12:54:55,2018-07-28 12:55:24,29.044s,FAILED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 61.0,,2018-07-28 12:54:58,2018-07-28 12:54:59,1.051s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:54:58,2018-07-28 12:54:58,0.036s,PASSED
verifyMatch,Firefox 61.0,,2018-07-28 12:54:58,2018-07-28 12:54:59,0.632s,FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:54:59,0.019s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:54:59,0.653s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:54:59,0.020s,PASSED
click,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:54:59,0.213s,FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:54:59,0.016s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 61.0,,2018-07-28 12:54:59,2018-07-28 12:55:00,0.944s,FAILED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:55:00,2018-07-28 12:55:00,0.011s,PASSED
click,Firefox 61.0,,2018-07-28 12:55:00,2018-07-28 12:55:00,0.014s,FAILED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:55:00,2018-07-28 12:55:00,0.018s,PASSED
