Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-07-21 22:41:08,2018-07-21 22:42:00,51.355s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-07-21 22:41:10,2018-07-21 22:41:30,20.364s,PASSED
openBrowser,Firefox 60.0,,2018-07-21 22:41:11,2018-07-21 22:41:30,18.917s,PASSED
verifyMatch,Firefox 60.0,,2018-07-21 22:41:30,2018-07-21 22:41:30,0.571s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-07-21 22:41:30,2018-07-21 22:41:35,4.935s,PASSED
click,Firefox 60.0,,2018-07-21 22:41:33,2018-07-21 22:41:33,0.456s,PASSED
click,Firefox 60.0,,2018-07-21 22:41:33,2018-07-21 22:41:34,0.613s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 22:41:34,2018-07-21 22:41:34,0.122s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 22:41:34,2018-07-21 22:41:34,0.094s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-07-21 22:41:34,2018-07-21 22:41:35,1.382s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-07-21 22:41:35,2018-07-21 22:41:58,22.964s,PASSED
click,Firefox 60.0,,2018-07-21 22:41:36,2018-07-21 22:41:37,0.366s,PASSED
verifyEqual,Firefox 60.0,,2018-07-21 22:41:37,2018-07-21 22:41:37,0.304s,PASSED
click,Firefox 60.0,,2018-07-21 22:41:37,2018-07-21 22:41:37,0.296s,PASSED
"Statement - For ([row = 1, row < com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Firefox 60.0,,2018-07-21 22:41:37,2018-07-21 22:41:58,21.031s,PASSED
