Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-18 22:25:54,2018-06-18 22:26:30,36.443s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-18 22:25:55,2018-06-18 22:26:24,28.479s,PASSED
openBrowser,Firefox 60.0,,2018-06-18 22:25:56,2018-06-18 22:26:23,26.942s,PASSED
verifyMatch,Firefox 60.0,,2018-06-18 22:26:23,2018-06-18 22:26:24,0.667s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-18 22:26:24,2018-06-18 22:26:29,5.566s,PASSED
click,Firefox 60.0,,2018-06-18 22:26:25,2018-06-18 22:26:26,1.027s,PASSED
click,Firefox 60.0,,2018-06-18 22:26:26,2018-06-18 22:26:27,1.419s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 22:26:27,2018-06-18 22:26:28,0.317s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 22:26:28,2018-06-18 22:26:28,0.147s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-18 22:26:28,2018-06-18 22:26:29,1.485s,PASSED
