Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-07-21 22:38:38,2018-07-21 22:39:16,38.712s,ERROR
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-07-21 22:38:40,2018-07-21 22:39:07,27.326s,PASSED
openBrowser,Firefox 60.0,,2018-07-21 22:38:41,2018-07-21 22:39:05,24.672s,PASSED
verifyMatch,Firefox 60.0,,2018-07-21 22:39:05,2018-07-21 22:39:07,1.760s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-07-21 22:39:07,2018-07-21 22:39:15,7.607s,PASSED
click,Firefox 60.0,,2018-07-21 22:39:08,2018-07-21 22:39:09,0.564s,PASSED
click,Firefox 60.0,,2018-07-21 22:39:09,2018-07-21 22:39:11,2.646s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 22:39:11,2018-07-21 22:39:12,0.459s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 22:39:12,2018-07-21 22:39:12,0.680s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-07-21 22:39:12,2018-07-21 22:39:15,2.137s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-07-21 22:39:15,2018-07-21 22:39:16,1.192s,ERROR
click,Firefox 60.0,,2018-07-21 22:39:15,2018-07-21 22:39:15,0.264s,PASSED
verifyEqual,Firefox 60.0,,2018-07-21 22:39:15,2018-07-21 22:39:16,0.155s,PASSED
click,Firefox 60.0,,2018-07-21 22:39:16,2018-07-21 22:39:16,0.252s,PASSED
"Statement - For ([row = 1, row < com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentData).getRowNumbers(), (row++)])",Firefox 60.0,,2018-07-21 22:39:16,2018-07-21 22:39:16,0.014s,PASSED
