Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceTests,,,2018-08-20 15:18:33,2018-08-20 15:18:40,7.030s,FAILED
,,,,,,
Test Cases/WebserviceTest/POST/CreateUser,,,2018-08-20 15:18:34,2018-08-20 15:18:36,2.143s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:34,2018-08-20 15:18:34,0.019s,PASSED
Statement - responseAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:35,2018-08-20 15:18:35,0.003s,PASSED
Statement - requestAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:35,2018-08-20 15:18:35,0.000s,PASSED
Statement - faker = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:18:35,2018-08-20 15:18:35,0.529s,PASSED
Statement - body = faker.createStringifiedUser(),,,2018-08-20 15:18:35,2018-08-20 15:18:35,0.066s,PASSED
"Statement - user = faker.jsonifyUser(body, com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:35,2018-08-20 15:18:36,0.038s,PASSED
Statement - requestAddUser = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/AddUser),,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.062s,PASSED
"Statement - requestAddUser.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.031s,PASSED
Statement - responseAddUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(requestAddUser),,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.536s,PASSED
"Statement - newUser = faker.jsonifyUser(responseAddUser.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.008s,PASSED
verifyEqual,,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.169s,PASSED
verifyResponseStatusCode,,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.032s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.048s,PASSED
,,,,,,
Test Cases/WebserviceTest/GET/VerifyNameById,,,2018-08-20 15:18:36,2018-08-20 15:18:39,2.275s,FAILED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:36,2018-08-20 15:18:36,0.010s,PASSED
Statement - request = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:37,2018-08-20 15:18:37,0.000s,PASSED
Statement - response = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:37,2018-08-20 15:18:37,0.000s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-08-20 15:18:37,2018-08-20 15:18:37,0.000s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(UserData).getRowNumbers(), (row++)])",,,2018-08-20 15:18:37,2018-08-20 15:18:39,1.832s,FAILED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:39,2018-08-20 15:18:39,0.000s,PASSED
,,,,,,
Test Cases/WebserviceTest/PUT/EditUser,,,2018-08-20 15:18:39,2018-08-20 15:18:40,1.409s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:39,2018-08-20 15:18:39,0.025s,PASSED
Statement - dataFactory = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:18:39,2018-08-20 15:18:40,0.296s,PASSED
Statement - user = dataFactory.getLastUser(),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.079s,PASSED
Statement - modifiedUser = dataFactory.modifyUser(user),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.077s,PASSED
Statement - body = dataFactory.createStringifiedUser(modifiedUser),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.002s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/ModifyUser),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.066s,PASSED
"Statement - request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.001s,PASSED
Statement - request.setRestUrl(request.getRestUrl() + user.getId()),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.006s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.170s,PASSED
"Statement - updatedUser = dataFactory.jsonifyUser(response.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.000s,PASSED
verifyEqual,,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.000s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:40,2018-08-20 15:18:40,0.000s,PASSED
