Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-18 01:03:39,2018-06-18 01:04:11,32.580s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-18 01:03:40,2018-06-18 01:04:04,23.880s,PASSED
openBrowser,Firefox 60.0,,2018-06-18 01:03:41,2018-06-18 01:04:04,22.595s,PASSED
verifyMatch,Firefox 60.0,,2018-06-18 01:04:04,2018-06-18 01:04:04,0.402s,PASSED
,,,,,,
Test Cases/Launch Web App/Login,Firefox 60.0,,2018-06-18 01:04:04,2018-06-18 01:04:10,5.507s,PASSED
click,Firefox 60.0,,2018-06-18 01:04:05,2018-06-18 01:04:06,0.564s,PASSED
click,Firefox 60.0,,2018-06-18 01:04:06,2018-06-18 01:04:07,1.383s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 01:04:07,2018-06-18 01:04:08,0.535s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 01:04:08,2018-06-18 01:04:08,0.195s,PASSED
delay,Firefox 60.0,,2018-06-18 01:04:08,2018-06-18 01:04:10,2.032s,PASSED
