Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 61.0,,2018-07-28 12:56:00,2018-07-28 12:57:00,1m - 0.545s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 61.0,,2018-07-28 12:56:20,2018-07-28 12:56:22,1.297s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:56:21,2018-07-28 12:56:21,0.070s,PASSED
verifyMatch,Firefox 61.0,,2018-07-28 12:56:21,2018-07-28 12:56:21,0.407s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:56:22,2018-07-28 12:56:22,0.217s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 61.0,,2018-07-28 12:56:22,2018-07-28 12:56:27,4.770s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:56:22,2018-07-28 12:56:22,0.021s,PASSED
click,Firefox 61.0,,2018-07-28 12:56:22,2018-07-28 12:56:23,0.471s,PASSED
click,Firefox 61.0,,2018-07-28 12:56:23,2018-07-28 12:56:24,1.296s,PASSED
verifyElementVisible,Firefox 61.0,,2018-07-28 12:56:24,2018-07-28 12:56:25,0.571s,PASSED
verifyElementVisible,Firefox 61.0,,2018-07-28 12:56:25,2018-07-28 12:56:25,0.340s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 61.0,,2018-07-28 12:56:25,2018-07-28 12:56:27,1.671s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:56:27,2018-07-28 12:56:27,0.007s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 61.0,,2018-07-28 12:56:27,2018-07-28 12:56:59,32.928s,PASSED
Start listener action : sampleBeforeTestCase,Firefox 61.0,,2018-07-28 12:56:27,2018-07-28 12:56:27,0.009s,PASSED
click,Firefox 61.0,,2018-07-28 12:56:27,2018-07-28 12:56:27,0.299s,PASSED
verifyEqual,Firefox 61.0,,2018-07-28 12:56:27,2018-07-28 12:56:28,0.216s,PASSED
click,Firefox 61.0,,2018-07-28 12:56:28,2018-07-28 12:56:28,0.266s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Firefox 61.0,,2018-07-28 12:56:28,2018-07-28 12:56:59,31.488s,PASSED
Start listener action : sampleAfterTestCase,Firefox 61.0,,2018-07-28 12:56:59,2018-07-28 12:56:59,0.011s,PASSED
