Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-07-21 23:12:22,2018-07-21 23:13:31,1m - 8.322s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-07-21 23:12:24,2018-07-21 23:12:52,28.550s,PASSED
openBrowser,Firefox 60.0,,2018-07-21 23:12:25,2018-07-21 23:12:52,26.779s,PASSED
verifyMatch,Firefox 60.0,,2018-07-21 23:12:52,2018-07-21 23:12:52,0.849s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-07-21 23:12:53,2018-07-21 23:12:56,3.730s,PASSED
click,Firefox 60.0,,2018-07-21 23:12:53,2018-07-21 23:12:54,0.629s,PASSED
click,Firefox 60.0,,2018-07-21 23:12:54,2018-07-21 23:12:55,0.778s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 23:12:55,2018-07-21 23:12:55,0.251s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-21 23:12:55,2018-07-21 23:12:55,0.098s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-07-21 23:12:55,2018-07-21 23:12:56,1.046s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-07-21 23:12:56,2018-07-21 23:13:29,33.155s,PASSED
click,Firefox 60.0,,2018-07-21 23:12:57,2018-07-21 23:12:57,0.261s,PASSED
verifyEqual,Firefox 60.0,,2018-07-21 23:12:57,2018-07-21 23:12:57,0.372s,PASSED
click,Firefox 60.0,,2018-07-21 23:12:57,2018-07-21 23:12:57,0.298s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Firefox 60.0,,2018-07-21 23:12:57,2018-07-21 23:13:29,31.950s,PASSED
