Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Chrome 67.0.3396.99,,2018-07-22 19:53:25,2018-07-22 19:54:38,1m - 12.748s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Chrome 67.0.3396.99,,2018-07-22 19:53:26,2018-07-22 19:53:46,19.462s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-22 19:53:29,2018-07-22 19:53:46,17.103s,PASSED
verifyMatch,Chrome 67.0.3396.99,,2018-07-22 19:53:46,2018-07-22 19:53:46,0.215s,PASSED
,,,,,,
Test Cases/Login/Login,Chrome 67.0.3396.99,,2018-07-22 19:53:46,2018-07-22 19:53:52,6.490s,PASSED
click,Chrome 67.0.3396.99,,2018-07-22 19:53:46,2018-07-22 19:53:47,0.458s,PASSED
click,Chrome 67.0.3396.99,,2018-07-22 19:53:47,2018-07-22 19:53:49,2.133s,PASSED
verifyElementVisible,Chrome 67.0.3396.99,,2018-07-22 19:53:49,2018-07-22 19:53:50,0.552s,PASSED
verifyElementVisible,Chrome 67.0.3396.99,,2018-07-22 19:53:50,2018-07-22 19:53:50,0.205s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Chrome 67.0.3396.99,,2018-07-22 19:53:50,2018-07-22 19:53:52,2.701s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Chrome 67.0.3396.99,,2018-07-22 19:53:52,2018-07-22 19:54:36,43.904s,PASSED
click,Chrome 67.0.3396.99,,2018-07-22 19:53:54,2018-07-22 19:53:54,0.278s,PASSED
verifyEqual,Chrome 67.0.3396.99,,2018-07-22 19:53:54,2018-07-22 19:53:54,0.413s,PASSED
click,Chrome 67.0.3396.99,,2018-07-22 19:53:54,2018-07-22 19:53:55,0.143s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Chrome 67.0.3396.99,,2018-07-22 19:53:55,2018-07-22 19:54:36,41.768s,PASSED
