Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-24 22:33:18,2018-06-24 22:38:48,5m - 30.067s,FAILED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-24 22:33:20,2018-06-24 22:38:32,5m - 12.456s,FAILED
openBrowser,Firefox 60.0,,2018-06-24 22:33:21,2018-06-24 22:38:32,5m - 11.355s,FAILED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-24 22:38:32,2018-06-24 22:38:39,6.961s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:34,2018-06-24 22:38:35,0.540s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:35,2018-06-24 22:38:37,2.179s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:38:37,2018-06-24 22:38:37,0.330s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:38:37,2018-06-24 22:38:37,0.213s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-24 22:38:37,2018-06-24 22:38:39,1.843s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-06-24 22:38:39,2018-06-24 22:38:47,7.981s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:40,2018-06-24 22:38:40,0.332s,PASSED
verifyEqual,Firefox 60.0,,2018-06-24 22:38:40,2018-06-24 22:38:41,0.211s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:41,2018-06-24 22:38:41,0.260s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:38:41,2018-06-24 22:38:41,0.049s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectDropDownItemByText,Firefox 60.0,,2018-06-24 22:38:41,2018-06-24 22:38:41,0.506s,PASSED
setText,Firefox 60.0,,2018-06-24 22:38:41,2018-06-24 22:38:42,0.208s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:42,2018-06-24 22:38:42,0.386s,PASSED
click,Firefox 60.0,,2018-06-24 22:38:42,2018-06-24 22:38:42,0.290s,PASSED
delay,Firefox 60.0,,2018-06-24 22:38:42,2018-06-24 22:38:47,5.080s,PASSED
