Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceTests,,,2018-08-20 15:32:07,2018-08-20 15:32:14,7.031s,PASSED
,,,,,,
Test Cases/WebserviceTest/POST/CreateUser,,,2018-08-20 15:32:08,2018-08-20 15:32:10,2.308s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:32:08,2018-08-20 15:32:08,0.089s,PASSED
Statement - responseAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:32:08,2018-08-20 15:32:08,0.004s,PASSED
Statement - requestAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:32:08,2018-08-20 15:32:08,0.000s,PASSED
Statement - faker = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:32:08,2018-08-20 15:32:09,0.557s,PASSED
Statement - body = faker.createStringifiedUser(),,,2018-08-20 15:32:09,2018-08-20 15:32:09,0.088s,PASSED
"Statement - user = faker.jsonifyUser(body, com.ahmedsoft.utilities.User)",,,2018-08-20 15:32:09,2018-08-20 15:32:09,0.011s,PASSED
Statement - requestAddUser = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/AddUser),,,2018-08-20 15:32:09,2018-08-20 15:32:09,0.083s,PASSED
"Statement - requestAddUser.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:32:09,2018-08-20 15:32:09,0.034s,PASSED
Statement - responseAddUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(requestAddUser),,,2018-08-20 15:32:09,2018-08-20 15:32:10,0.689s,PASSED
"Statement - newUser = faker.jsonifyUser(responseAddUser.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.004s,PASSED
verifyEqual,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.121s,PASSED
verifyResponseStatusCode,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.016s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.039s,PASSED
,,,,,,
Test Cases/WebserviceTest/GET/VerifyNameById,,,2018-08-20 15:32:10,2018-08-20 15:32:13,2.777s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.012s,PASSED
Statement - request = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.000s,PASSED
Statement - response = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.000s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-08-20 15:32:10,2018-08-20 15:32:10,0.000s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(UserData).getRowNumbers(), (row++)])",,,2018-08-20 15:32:10,2018-08-20 15:32:13,2.392s,PASSED
"Statement - println(""End of Users test case"")",,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.008s,PASSED
,,,,,,
Test Cases/WebserviceTest/PUT/EditUser,,,2018-08-20 15:32:13,2018-08-20 15:32:14,0.763s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.000s,PASSED
Statement - dataFactory = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.258s,PASSED
Statement - user = dataFactory.getLastUser(),,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.056s,PASSED
Statement - modifiedUser = dataFactory.modifyUser(user),,,2018-08-20 15:32:13,2018-08-20 15:32:13,0.000s,PASSED
Statement - body = dataFactory.createStringifiedUser(modifiedUser),,,2018-08-20 15:32:13,2018-08-20 15:32:14,0.016s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/ModifyUser),,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.000s,PASSED
"Statement - request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.000s,PASSED
Statement - request.setRestUrl(request.getRestUrl() + user.getId()),,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.000s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.042s,PASSED
"Statement - updatedUser = dataFactory.jsonifyUser(response.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.001s,PASSED
verifyEqual,,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.002s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:32:14,2018-08-20 15:32:14,0.006s,PASSED
