Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-07-22 00:09:12,2018-07-22 00:10:12,59.927s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-07-22 00:09:14,2018-07-22 00:09:33,19.092s,PASSED
openBrowser,Firefox 60.0,,2018-07-22 00:09:15,2018-07-22 00:09:32,17.659s,PASSED
verifyMatch,Firefox 60.0,,2018-07-22 00:09:32,2018-07-22 00:09:33,0.446s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-07-22 00:09:33,2018-07-22 00:09:37,4.504s,PASSED
click,Firefox 60.0,,2018-07-22 00:09:34,2018-07-22 00:09:35,0.762s,PASSED
click,Firefox 60.0,,2018-07-22 00:09:35,2018-07-22 00:09:36,0.838s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-22 00:09:36,2018-07-22 00:09:36,0.113s,PASSED
verifyElementVisible,Firefox 60.0,,2018-07-22 00:09:36,2018-07-22 00:09:36,0.059s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-07-22 00:09:36,2018-07-22 00:09:37,1.248s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-07-22 00:09:38,2018-07-22 00:10:11,33.603s,PASSED
click,Firefox 60.0,,2018-07-22 00:09:39,2018-07-22 00:09:39,0.369s,PASSED
verifyEqual,Firefox 60.0,,2018-07-22 00:09:39,2018-07-22 00:09:39,0.332s,PASSED
click,Firefox 60.0,,2018-07-22 00:09:39,2018-07-22 00:09:40,0.297s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(AppointmentsData).getRowNumbers(), (row++)])",Firefox 60.0,,2018-07-22 00:09:40,2018-07-22 00:10:11,31.489s,PASSED
