Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceTests,,,2018-08-20 15:28:45,2018-08-20 15:28:50,5.509s,PASSED
,,,,,,
Test Cases/WebserviceTest/POST/CreateUser,,,2018-08-20 15:28:45,2018-08-20 15:28:47,1.738s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:28:45,2018-08-20 15:28:45,0.016s,PASSED
Statement - responseAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.002s,PASSED
Statement - requestAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.002s,PASSED
Statement - faker = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.534s,PASSED
Statement - body = faker.createStringifiedUser(),,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.038s,PASSED
"Statement - user = faker.jsonifyUser(body, com.ahmedsoft.utilities.User)",,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.006s,PASSED
Statement - requestAddUser = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/AddUser),,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.051s,PASSED
"Statement - requestAddUser.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:28:46,2018-08-20 15:28:46,0.022s,PASSED
Statement - responseAddUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(requestAddUser),,,2018-08-20 15:28:46,2018-08-20 15:28:47,0.544s,PASSED
"Statement - newUser = faker.jsonifyUser(responseAddUser.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.008s,PASSED
verifyEqual,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.050s,PASSED
verifyResponseStatusCode,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.018s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.015s,PASSED
,,,,,,
Test Cases/WebserviceTest/GET/VerifyNameById,,,2018-08-20 15:28:47,2018-08-20 15:28:49,2.234s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.009s,PASSED
Statement - request = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.001s,PASSED
Statement - response = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.001s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-08-20 15:28:47,2018-08-20 15:28:47,0.001s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(UserData).getRowNumbers(), (row++)])",,,2018-08-20 15:28:47,2018-08-20 15:28:49,1.866s,PASSED
"Statement - println(""End of Users test case"")",,,2018-08-20 15:28:49,2018-08-20 15:28:49,0.005s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:28:49,2018-08-20 15:28:49,0.009s,PASSED
,,,,,,
Test Cases/WebserviceTest/PUT/EditUser,,,2018-08-20 15:28:49,2018-08-20 15:28:50,0.577s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:28:49,2018-08-20 15:28:49,0.008s,PASSED
Statement - dataFactory = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.175s,PASSED
Statement - user = dataFactory.getLastUser(),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.029s,PASSED
Statement - modifiedUser = dataFactory.modifyUser(user),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.007s,PASSED
Statement - body = dataFactory.createStringifiedUser(modifiedUser),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.001s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/ModifyUser),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.007s,PASSED
"Statement - request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.001s,PASSED
Statement - request.setRestUrl(request.getRestUrl() + user.getId()),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.006s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.009s,PASSED
"Statement - updatedUser = dataFactory.jsonifyUser(response.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.001s,PASSED
verifyEqual,,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:28:50,2018-08-20 15:28:50,0.006s,PASSED
