Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-24 22:18:24,2018-06-24 22:19:38,1m - 13.889s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-24 22:18:26,2018-06-24 22:19:19,53.196s,PASSED
openBrowser,Firefox 60.0,,2018-06-24 22:18:27,2018-06-24 22:19:18,51.873s,PASSED
verifyMatch,Firefox 60.0,,2018-06-24 22:19:18,2018-06-24 22:19:19,0.359s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-24 22:19:19,2018-06-24 22:19:31,12.029s,PASSED
click,Firefox 60.0,,2018-06-24 22:19:20,2018-06-24 22:19:20,0.530s,PASSED
click,Firefox 60.0,,2018-06-24 22:19:20,2018-06-24 22:19:26,5.654s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:19:26,2018-06-24 22:19:26,0.423s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:19:27,2018-06-24 22:19:27,0.188s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-24 22:19:27,2018-06-24 22:19:31,4.220s,PASSED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-06-24 22:19:31,2018-06-24 22:19:37,5.709s,PASSED
click,Firefox 60.0,,2018-06-24 22:19:32,2018-06-24 22:19:32,0.347s,PASSED
verifyEqual,Firefox 60.0,,2018-06-24 22:19:32,2018-06-24 22:19:32,0.391s,PASSED
click,Firefox 60.0,,2018-06-24 22:19:32,2018-06-24 22:19:33,0.269s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-24 22:19:33,2018-06-24 22:19:33,0.089s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectDropDownItemByText,Firefox 60.0,,2018-06-24 22:19:33,2018-06-24 22:19:33,0.567s,PASSED
setText,Firefox 60.0,,2018-06-24 22:19:33,2018-06-24 22:19:34,0.170s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectCheckboxByLabel,Firefox 60.0,,2018-06-24 22:19:34,2018-06-24 22:19:34,0.032s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectRadiobuttonByLabel,Firefox 60.0,,2018-06-24 22:19:34,2018-06-24 22:19:34,0.007s,PASSED
delay,Firefox 60.0,,2018-06-24 22:19:34,2018-06-24 22:19:37,3.047s,PASSED
