Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceTests,,,2018-07-29 23:18:24,2018-07-29 23:18:34,10.060s,FAILED
,,,,,,
Test Cases/WebserviceTest/GET/VerifyNameById,,,2018-07-29 23:18:27,2018-07-29 23:18:34,7.022s,FAILED
Start listener action : sampleBeforeTestCase,,,2018-07-29 23:18:27,2018-07-29 23:18:27,0.098s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(API/GetUsers),,,2018-07-29 23:18:28,2018-07-29 23:18:28,0.073s,PASSED
Statement - response = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-07-29 23:18:28,2018-07-29 23:18:28,0.002s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-07-29 23:18:28,2018-07-29 23:18:28,0.005s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(UserData).getRowNumbers(), (row++)])",,,2018-07-29 23:18:28,2018-07-29 23:18:34,5.652s,FAILED
Start listener action : sampleAfterTestCase,,,2018-07-29 23:18:34,2018-07-29 23:18:34,0.066s,PASSED
