Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-16 23:51:17,2018-06-16 23:51:51,33.834s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-16 23:51:19,2018-06-16 23:51:46,27.378s,PASSED
openBrowser,Firefox 60.0,,2018-06-16 23:51:20,2018-06-16 23:51:46,25.993s,PASSED
verifyMatch,Firefox 60.0,,2018-06-16 23:51:46,2018-06-16 23:51:46,0.321s,PASSED
,,,,,,
Test Cases/Launch Web App/Login,Firefox 60.0,,2018-06-16 23:51:46,2018-06-16 23:51:50,3.882s,PASSED
click,Firefox 60.0,,2018-06-16 23:51:47,2018-06-16 23:51:48,0.598s,PASSED
delay,Firefox 60.0,,2018-06-16 23:51:48,2018-06-16 23:51:50,2.035s,PASSED
