Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-18 23:23:28,2018-06-18 23:24:08,40.579s,PASSED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-18 23:23:29,2018-06-18 23:23:57,27.552s,PASSED
openBrowser,Firefox 60.0,,2018-06-18 23:23:30,2018-06-18 23:23:56,26.042s,PASSED
verifyMatch,Firefox 60.0,,2018-06-18 23:23:56,2018-06-18 23:23:57,0.399s,PASSED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-18 23:23:57,2018-06-18 23:24:02,4.999s,PASSED
click,Firefox 60.0,,2018-06-18 23:23:58,2018-06-18 23:23:58,0.514s,PASSED
click,Firefox 60.0,,2018-06-18 23:23:58,2018-06-18 23:24:00,1.202s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 23:24:00,2018-06-18 23:24:00,0.328s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 23:24:00,2018-06-18 23:24:00,0.168s,PASSED
com.ahmedsoft.utilities.AppUtilities.login,Firefox 60.0,,2018-06-18 23:24:00,2018-06-18 23:24:02,1.794s,PASSED
,,,,,,
Test Cases/Make Appointment/MakeAppointment,Firefox 60.0,,2018-06-18 23:24:02,2018-06-18 23:24:07,5.231s,PASSED
click,Firefox 60.0,,2018-06-18 23:24:02,2018-06-18 23:24:03,0.293s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 23:24:03,2018-06-18 23:24:03,0.107s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 23:24:03,2018-06-18 23:24:03,0.086s,PASSED
click,Firefox 60.0,,2018-06-18 23:24:03,2018-06-18 23:24:03,0.252s,PASSED
verifyElementVisible,Firefox 60.0,,2018-06-18 23:24:03,2018-06-18 23:24:03,0.090s,PASSED
com.ahmedsoft.utilities.CommonUtilities.selectDropDownItemByText,Firefox 60.0,,2018-06-18 23:24:03,2018-06-18 23:24:04,0.734s,PASSED
setText,Firefox 60.0,,2018-06-18 23:24:04,2018-06-18 23:24:04,0.228s,PASSED
delay,Firefox 60.0,,2018-06-18 23:24:04,2018-06-18 23:24:07,3.034s,PASSED
