Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
WebServiceTests,,,2018-08-20 15:18:49,2018-08-20 15:18:54,5.383s,FAILED
,,,,,,
Test Cases/WebserviceTest/POST/CreateUser,,,2018-08-20 15:18:50,2018-08-20 15:18:52,1.761s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:50,2018-08-20 15:18:50,0.022s,PASSED
Statement - responseAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:50,2018-08-20 15:18:50,0.003s,PASSED
Statement - requestAddUser = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:50,2018-08-20 15:18:50,0.003s,PASSED
Statement - faker = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:18:50,2018-08-20 15:18:51,0.482s,PASSED
Statement - body = faker.createStringifiedUser(),,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.036s,PASSED
"Statement - user = faker.jsonifyUser(body, com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.007s,PASSED
Statement - requestAddUser = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/AddUser),,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.063s,PASSED
"Statement - requestAddUser.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.020s,PASSED
Statement - responseAddUser = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(requestAddUser),,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.522s,PASSED
"Statement - newUser = faker.jsonifyUser(responseAddUser.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.008s,PASSED
verifyEqual,,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.098s,PASSED
verifyResponseStatusCode,,,2018-08-20 15:18:51,2018-08-20 15:18:51,0.020s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:51,2018-08-20 15:18:52,0.022s,PASSED
,,,,,,
Test Cases/WebserviceTest/GET/VerifyNameById,,,2018-08-20 15:18:52,2018-08-20 15:18:53,1.914s,FAILED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:52,2018-08-20 15:18:52,0.013s,PASSED
Statement - request = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:52,2018-08-20 15:18:52,0.002s,PASSED
Statement - response = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,2018-08-20 15:18:52,2018-08-20 15:18:52,0.002s,PASSED
Statement - params = new java.util.ArrayList(),,,2018-08-20 15:18:52,2018-08-20 15:18:52,0.001s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(UserData).getRowNumbers(), (row++)])",,,2018-08-20 15:18:52,2018-08-20 15:18:53,1.492s,FAILED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:53,2018-08-20 15:18:53,0.007s,PASSED
,,,,,,
Test Cases/WebserviceTest/PUT/EditUser,,,2018-08-20 15:18:53,2018-08-20 15:18:54,0.747s,PASSED
Start listener action : sampleBeforeTestCase,,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.018s,PASSED
Statement - dataFactory = new com.ahmedsoft.utilities.DataFactory(),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.195s,PASSED
Statement - user = dataFactory.getLastUser(),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.041s,PASSED
Statement - modifiedUser = dataFactory.modifyUser(user),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.004s,PASSED
Statement - body = dataFactory.createStringifiedUser(modifiedUser),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.002s,PASSED
Statement - request = com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/API/ModifyUser),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.007s,PASSED
"Statement - request.setBodyContent(new com.kms.katalon.core.testobject.impl.HttpTextBodyContent(body, UTF-8, application/json))",,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.001s,PASSED
Statement - request.setRestUrl(request.getRestUrl() + user.getId()),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.003s,PASSED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(request),,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.016s,PASSED
"Statement - updatedUser = dataFactory.jsonifyUser(response.getResponseText(), com.ahmedsoft.utilities.User)",,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.002s,PASSED
verifyEqual,,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.003s,PASSED
Start listener action : sampleAfterTestCase,,,2018-08-20 15:18:54,2018-08-20 15:18:54,0.005s,PASSED
