Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
MakeAppointment,Firefox 60.0,,2018-06-24 21:16:19,2018-06-24 21:22:08,5m - 48.694s,FAILED
,,,,,,
Test Cases/Launch Web App/Open Home Page,Firefox 60.0,,2018-06-24 21:16:22,2018-06-24 21:21:43,5m - 21.481s,FAILED
openBrowser,Firefox 60.0,,2018-06-24 21:16:23,2018-06-24 21:21:43,5m - 20.388s,FAILED
,,,,,,
Test Cases/Login/Login,Firefox 60.0,,2018-06-24 21:21:43,2018-06-24 21:21:55,12.216s,FAILED
click,Firefox 60.0,,2018-06-24 21:21:44,2018-06-24 21:21:55,11.033s,FAILED
,,,,,,
Test Cases/Make Appointment/BookAppointment,Firefox 60.0,,2018-06-24 21:21:55,2018-06-24 21:22:04,8.824s,FAILED
click,Firefox 60.0,,2018-06-24 21:21:56,2018-06-24 21:22:04,8.447s,FAILED
